census_no,school_name,school_address,province,district,zone,education_division,school_type,category
13184,KUNCHUKULAM PANDARAVANNIYAN VIDYALAYAM,KUNCHUKULAM MANKULAM,Northern,43.Vavuniya,Vavuniya North,Nedunkerny,4.Type3,provincial
13186,SITHAMPARAPURAM SRI NAGARAJAH VIDYALAYAM,SITHAMPARAPURAM VAVUNIYA,Northern,43.Vavuniya,Vavuniya South,Vavuniya South (Tamil),3.Type2,provincial
13187,SRIKIRISHNA VIDYALAYAM,"SINNATHTHAMBANAI, POOVARASANKULAM",Northern,43.Vavuniya,Vavuniya North,Omanthai,4.Type3,provincial
13194,THIRUVALLUVAR VIDYALAYAM,"KADDAYARKULAM, SASTHIRIKOOLANKUAM",Northern,43.Vavuniya,Vavuniya North,Omanthai,4.Type3,provincial
13195,THARANIKULAM GANESHA VIDYALAYAM,SASTHIRIKOOLANKULAM VAVUNIYA,Northern,43.Vavuniya,Vavuniya North,Omanthai,2.1C,provincial
13196,BHARATHITHASAN VIDYALAYAM,"MARAVANKULAM, SASTHIRIKOOLANKULAM",Northern,43.Vavuniya,Vavuniya North,Omanthai,3.Type2,provincial
13197,SUNTHARAPURAM SARASWATHY VIDYALAYAM,SAASDTHRIKOOLANKULAM VAVUNIYA,Northern,43.Vavuniya,Vavuniya North,Omanthai,3.Type2,provincial
13198,PUTHUKKULAM JUNIOR SCHOOL,SASHTHIRIKOOLANKULAM,Northern,43.Vavuniya,Vavuniya North,Omanthai,4.Type3,provincial
13200,RISHAD BATHIUDEEN MUSLIM VIDYALAYAM,SOODUVENTHAPULAVU,Northern,43.Vavuniya,Vavuniya South,Vengalacheddikulam,4.Type3,provincial
13201,SAIVAPRAGASA PRIMARY SCHOOL,"U.C.ROAD, VAVUNIYA",Northern,43.Vavuniya,Vavuniya South,Vavuniya South (Tamil),4.Type3,provincial
13202,KANAGARAYANKULAM PRIMARY VIDYALAYAM,KANAGARAYANKULAM,Northern,43.Vavuniya,Vavuniya North,Nedunkerny,4.Type3,provincial
13203,BOGASWEWA VIDYALAYA,"BOGASWEWA, VAVUNIYA",Northern,43.Vavuniya,Vavuniya South,Vavuniya South (Sinhala),2.1C,provincial
13204,POOVARASU PRIMARY SCHOOL,MANNAR ROAD POOVARASANKULAM,Northern,43.Vavuniya,Vavuniya South,Vavuniya South (Tamil),4.Type3,provincial
13205,PULIYANKULAM PRIMARY SCHOOL,"PULIYANKULAM, VAVUNIYA",Northern,43.Vavuniya,Vavuniya North,Nedunkerny,4.Type3,provincial
13206,THARANIKKULAM PRIMARY SCHOOL,SASHTHIRIKOOLANKULAM VAVUNIYA,Northern,43.Vavuniya,Vavuniya North,Omanthai,4.Type3,provincial
13207,AAYSHA VIDYALAYAM,"NEW SALAMBAIKKULAM, PAMBAIMADU, VAVUNIYA.",Northern,43.Vavuniya,Vavuniya South,Vavuniya South (Tamil),4.Type3,provincial
13208,ROSHAN MAHANAMA VIDYALAYA,"WEHERATHANNA, BOGASVAVA",Northern,43.Vavuniya,Vavuniya South,Vavuniya South (Sinhala),4.Type3,provincial
19098,ETHAWETUNUWEWA SCHOOL,"WELIOYA, ETHAWETUNUWEWA",Northern,44.Mullaitivu,Mullaitivu,Welioya,3.Type2,provincial
19099,KIRIIBBANWEWA VIDYALAYA,"KIRIIBBANWEWA, WELIOYA",Northern,44.Mullaitivu,Mullaitivu,Welioya,2.1C,provincial
19101,EHETUGASWEWA VIDYALAYA,"EHETUGASWEWA, WELIOYA",Northern,44.Mullaitivu,Mullaitivu,Welioya,2.1C,provincial
19561,JANAKAPURA SCHOOL,"JANAKAPURA, WELIOYA",Northern,44.Mullaitivu,Mullaitivu,Welioya,4.Type3,provincial
19596,KALYANIPURA SCHOOL,"KALYANIPURA, WELIOYA, ETHAWETUNUWEWA",Northern,44.Mullaitivu,Mullaitivu,Welioya,3.Type2,provincial
14001,KATHIRAVELY VIGNESVARA MAHA VIDYALAYAM,"TRINCO ROAD, KATHIRAVELY",Eastern,51.Batticaloa,Kalkudah,Koralai Pattu North,1.1AB,provincial
14002,PALCHENAI G TAMIL MAHA VIDYALAYAM,"PALCHENAI, KATHIRAVELY.",Eastern,51.Batticaloa,Kalkudah,Koralai Pattu North,2.1C,provincial
14003,KADDUMURIVUKULAM G.T.M.S.,"KADDUMURIVU, KATHIRAVELY.",Eastern,51.Batticaloa,Kalkudah,Koralai Pattu North,2.1C,provincial
14004,VAMMIVADDAVAN VIDYALAYAM,"MAIN STREET, VAMMIVADDAVAN, KATHIRAVELY.",Eastern,51.Batticaloa,Kalkudah,Koralai Pattu North,3.Type2,provincial
14005,KANDALADY ARUNTHATHY VIDYALAYAM,VAKARAI,Eastern,51.Batticaloa,Kalkudah,Koralai Pattu North,4.Type3,provincial
14006,VAKARAI MAHA VIDYALAYAM,VAKARAI,Eastern,51.Batticaloa,Kalkudah,Koralai Pattu North,2.1C,provincial
14007,URIYANKADDU G.T.M.S.,"URIYANKADDU, VAHARAI",Eastern,51.Batticaloa,Kalkudah,Koralai Pattu North,4.Type3,provincial
14008,PANICHANKERNY THIRUMAHAL VIDAYALAYAM,"TRINCO ROAD, PANICHANKERNY.",Eastern,51.Batticaloa,Kalkudah,Koralai Pattu North,3.Type2,provincial
